Data, H:M:S, TI, TE, TR, R, V
23/03/2021, 08:21:03, 48.18, 28.02, 29.00, 0.00, -100.00
23/03/2021, 08:21:05, 48.44, 28.01, 29.00, 0.00, -100.00
23/03/2021, 08:21:07, 47.89, 28.00, 29.00, 0.00, -100.00
23/03/2021, 08:21:09, 48.79, 27.98, 29.00, 0.00, -100.00
23/03/2021, 08:21:11, 48.69, 27.95, 29.00, 0.00, -100.00
23/03/2021, 08:21:13, 49.92, 27.94, 29.00, 0.00, -100.00
23/03/2021, 08:21:15, 49.92, 27.93, 29.00, 0.00, -100.00
23/03/2021, 08:21:17, 49.98, 27.92, 29.00, 0.00, -100.00
23/03/2021, 08:21:19, 48.79, 27.91, 29.00, 0.00, -100.00
23/03/2021, 08:21:21, 48.86, 27.90, 29.00, 0.00, -100.00
23/03/2021, 08:21:23, 47.82, 27.88, 29.00, 0.00, -100.00
23/03/2021, 08:21:25, 46.50, 27.86, 29.00, 0.00, -100.00
23/03/2021, 08:21:27, 46.44, 27.84, 29.00, 0.00, -100.00
23/03/2021, 08:21:29, 46.44, 27.83, 29.00, 0.00, -100.00
23/03/2021, 08:21:31, 46.21, 27.82, 29.00, 0.00, -100.00
23/03/2021, 08:21:33, 46.57, 27.80, 29.00, 0.00, -100.00
23/03/2021, 08:21:35, 46.70, 27.80, 29.00, 0.00, -100.00
23/03/2021, 08:21:37, 45.73, 27.80, 29.00, 0.00, -100.00
23/03/2021, 08:21:39, 45.92, 27.79, 29.00, 0.00, -100.00
23/03/2021, 08:21:41, 45.63, 27.79, 29.00, 0.00, -100.00
23/03/2021, 08:21:43, 45.50, 27.77, 29.00, 0.00, -100.00
23/03/2021, 08:21:45, 45.83, 27.75, 29.00, 0.00, -100.00
23/03/2021, 08:21:48, 46.02, 27.74, 29.00, 0.00, -100.00
23/03/2021, 08:21:50, 46.18, 27.73, 29.00, 0.00, -100.00
23/03/2021, 08:21:52, 45.57, 27.72, 29.00, 0.00, -100.00
23/03/2021, 08:21:54, 44.96, 27.71, 29.00, 0.00, -100.00
23/03/2021, 08:21:56, 43.57, 27.71, 29.00, 0.00, -100.00
23/03/2021, 08:21:58, 42.67, 27.70, 29.00, 0.00, -100.00
23/03/2021, 08:22:00, 42.31, 27.70, 29.00, 0.00, -100.00
23/03/2021, 08:22:02, 42.51, 27.70, 29.00, 0.00, -100.00
23/03/2021, 08:22:04, 42.41, 27.69, 29.00, 0.00, -100.00
23/03/2021, 08:22:06, 42.57, 27.71, 29.00, 0.00, -100.00
23/03/2021, 08:22:08, 42.18, 27.73, 29.00, 0.00, -100.00
23/03/2021, 08:22:10, 41.67, 27.73, 29.00, 0.00, -100.00
23/03/2021, 08:22:12, 40.99, 27.71, 29.00, 0.00, -100.00
23/03/2021, 08:22:14, 40.35, 27.71, 29.00, 0.00, -100.00
23/03/2021, 08:22:16, 41.09, 27.70, 29.00, 0.00, -100.00
23/03/2021, 08:22:18, 41.12, 27.69, 29.00, 0.00, -100.00
23/03/2021, 08:22:20, 41.48, 27.68, 29.00, 0.00, -100.00
23/03/2021, 08:22:22, 41.96, 27.67, 29.00, 0.00, -100.00
23/03/2021, 08:22:24, 42.06, 27.66, 29.00, 0.00, -100.00
23/03/2021, 08:22:26, 41.15, 27.66, 29.00, 0.00, -100.00
23/03/2021, 08:22:28, 41.70, 27.66, 29.00, 0.00, -100.00
23/03/2021, 08:22:30, 41.19, 27.64, 29.00, 0.00, -100.00
23/03/2021, 08:22:32, 40.70, 27.65, 29.00, 0.00, -100.00
23/03/2021, 08:22:34, 40.99, 27.64, 29.00, 0.00, -100.00
23/03/2021, 08:22:36, 41.35, 27.63, 29.00, 0.00, -100.00
23/03/2021, 08:22:38, 40.99, 27.63, 29.00, 0.00, -100.00
23/03/2021, 08:22:40, 40.73, 27.63, 29.00, 0.00, -100.00
23/03/2021, 08:22:42, 40.38, 27.61, 29.00, 0.00, -100.00
23/03/2021, 08:22:44, 39.32, 27.61, 29.00, 0.00, -100.00
23/03/2021, 08:22:46, 38.93, 27.61, 29.00, 0.00, -100.00
23/03/2021, 08:22:48, 39.22, 27.62, 29.00, 0.00, -100.00
23/03/2021, 08:22:50, 39.35, 27.60, 29.00, 0.00, -100.00
23/03/2021, 08:22:52, 39.86, 27.59, 29.00, 0.00, -100.00
23/03/2021, 08:22:54, 40.51, 27.58, 29.00, 0.00, -100.00
23/03/2021, 08:22:56, 40.48, 27.58, 29.00, 0.00, -100.00
23/03/2021, 08:22:58, 39.83, 27.58, 29.00, 0.00, -100.00
23/03/2021, 08:23:00, 39.83, 27.58, 29.00, 0.00, -100.00
23/03/2021, 08:23:02, 39.83, 27.57, 29.00, 0.00, -100.00
23/03/2021, 08:23:04, 38.80, 27.57, 29.00, 0.00, -100.00
23/03/2021, 08:23:06, 39.16, 27.56, 29.00, 0.00, -100.00
23/03/2021, 08:23:08, 39.06, 27.56, 29.00, 0.00, -100.00
23/03/2021, 08:23:10, 38.29, 27.56, 29.00, 0.00, -100.00
23/03/2021, 08:23:12, 38.06, 27.58, 29.00, 0.00, -100.00
23/03/2021, 08:23:14, 38.51, 27.59, 29.00, 0.00, -100.00
23/03/2021, 08:23:16, 37.51, 27.58, 29.00, 0.00, -100.00
23/03/2021, 08:23:18, 37.45, 27.56, 29.00, 0.00, -100.00
23/03/2021, 08:23:20, 37.67, 27.55, 29.00, 0.00, -100.00
23/03/2021, 08:23:22, 38.38, 27.55, 29.00, 0.00, -100.00
23/03/2021, 08:23:24, 38.29, 27.53, 29.00, 0.00, -100.00
23/03/2021, 08:23:26, 38.41, 27.53, 29.00, 0.00, -100.00
23/03/2021, 08:23:28, 38.16, 27.52, 29.00, 0.00, -100.00
23/03/2021, 08:23:30, 38.06, 27.52, 29.00, 0.00, -100.00
23/03/2021, 08:23:32, 36.32, 27.51, 29.00, 0.00, -100.00
23/03/2021, 08:23:34, 35.96, 27.52, 29.00, 0.00, -100.00
23/03/2021, 08:23:36, 35.87, 27.52, 29.00, 0.00, -100.00
23/03/2021, 08:23:38, 35.67, 27.53, 29.00, 0.00, -100.00
23/03/2021, 08:23:40, 35.80, 27.55, 29.00, 0.00, -100.00
23/03/2021, 08:23:42, 36.45, 27.56, 29.00, 0.00, -100.00
